thread_id,email_number,rollback_status,cache_clear_status,diagnostics_required,device_consistency,browser_version,browser_type,issue_reproduction,support_required,os_type,system_change,upgrade_related,ticket_priority,escalation_status,software_version,escalation_needed,crm_version,technical_complexity,error_type,issue_history,issue_severity,system_affected,ticket_created
96,2,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,windows_10,software_update,True,high,True,v3.14.2,True,unknown,High,API timeout after webhook validation fails,recurring,critical,single system,1
268,4,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,no recent changes,False,unknown,False,unknown,True,unknown,Medium,unknown_error,one-time,high,single system,1
179,2,False,True,True,consistent across both Chrome and Firefox,Chrome 121.0.0.1,Chrome,False,True,windows_10,configuration_change,True,unknown,False,unknown,True,unknown,unknown,database_connection_failed,unknown,high,multiple systems,1
223,4,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,True,True,Linux,configuration_change,True,high,False,v3.14.2,True,2.5.3,Medium,timeout,recurring,high,multiple systems,0
272,1,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,high,False,CRM Pro v3.2.4,True,unknown,High,configuration_error,one-time,critical,multiple systems,0
78,4,True,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,windows_10,configuration_change,True,high,False,v4.2.7,True,4.2.7,Medium,timeout,one-time,high,multiple systems,1
220,6,False,False,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,configuration_change,True,unknown,False,3.2.5,True,3.2.1,Medium,database_connection_timeout_exception,recurring,high,crm_system,1
160,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,software_update,True,high,False,2.4.5,True,unknown,High,503: Service Unavailable,recurring,critical,multiple systems,0
112,1,False,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,configuration_change,True,high,False,Nosco CRM v2.4.2,True,2.4.2,Medium,database_connection_timeout_exception,recurring,high,inventory_module,0
112,4,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,True,True,unknown,configuration_change,True,high,True,v2.4.3,True,2.4.2,Medium,database_connection_timeout_exception,recurring,high,single system,1
105,3,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,configuration_change,True,high,True,CRM Pro v3.2.1,True,unknown,Medium,database_connection_timeout_exception,recurring,high,multiple systems,1
170,2,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,yes,True,high,True,CRM Pro v3.2.4,True,unknown,High,503: Service Unavailable,recurring,critical,single system,1
123,2,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,False,unknown,hardware_upgrade,True,unknown,False,v3.14.2,True,unknown,High,database_connection_timeout_exception,recurring,high,single system,0
153,6,True,True,True,consistent across both Chrome and Firefox,Chrome 128,Chrome,False,True,windows_10,configuration_change,True,high,True,v3.14.2,True,unknown,High,database_connection_timeout_exception,recurring,critical,multiple systems,1
286,1,False,False,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122",unknown,False,True,CentOS 8,configuration_change,True,unknown,False,v5.1.8,True,unknown,High,timeout,recurring,critical,single system,0
291,5,True,True,True,consistent across both Chrome and Firefox,Chrome 125,Chrome,False,True,unknown,configuration_change,True,high,True,v3.4.2,True,unknown,Medium,configuration_error,one-time,high,multiple systems,1
108,6,True,True,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122",Chrome,False,True,unknown,configuration_change,True,high,True,v4.2.1,True,unknown,High,database_connection_timeout_exception,one-time,critical,"inventory_module, single system",1
80,4,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,unknown,False,2.5.3,True,2.5.3,Medium,database_connection_failed,one-time,high,multiple systems,0
13,5,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,unknown,True,2.5.3,True,2.5.3,Medium,configuration_error,recurring,critical,single system,1
128,2,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,False,False,Windows Server 2022,software_update,True,unknown,False,Nosco CRM v2.4.1,True,unknown,High,database_connection_timeout_exception,recurring,critical,single system,0
120,4,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,True,True,unknown,software_update,True,high,False,3.2.1,True,unknown,High,timeout,recurring,critical,multiple systems,0
206,3,False,True,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122","Chrome, Edge, Firefox, Google Chrome, Microsoft Edge",False,True,"Linux, Windows Server 2019, macOS, windows_10, windows_11","No recent changes, configuration_change, hardware_upgrade, software_update, yes",False,unknown,False,"3.2.1, 3.2.2, 3.3.0, CRM Pro v3.2.4, PostgreSQL 12.7+, unknown",True,"2.5.3, 3.2.1, 4.1.9, 4.2.0, 4.2.1, 4.8.2, other",High,"configuration_error, database_connection_failed, timeout, unknown_error",recurring,critical,single system,0
273,1,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,high,True,CRM v5.2.1,True,unknown,High,timeout,one-time,critical,single system,0
148,3,False,True,True,consistent across both Chrome and Firefox,Chrome 121.0.0/Edge 120.0.2,"Chrome, Edge",False,True,"Windows Server 2019, windows_10, windows_11",software_update,True,high,False,CRM Pro v3.2.4,True,unknown,High,"503: Service Unavailable, API timeout after webhook validation fails, Database connection timeout, Database migration conflict, Other, database_connection_timeout_exception, system_error",recurring,critical,multiple systems,1
163,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,No recent changes,True,high,False,Nosco CRM v2.3.4,True,2.3.4,Medium,database_connection_timeout_exception,one-time,high,single system,0
104,4,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,unknown,configuration_change,True,high,True,Nosco CRM v5.2.1,True,unknown,Medium,503: Service Unavailable,recurring,critical,multiple systems,1
154,2,False,True,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122","Chrome, Edge",False,False,windows_10,software_update,True,high,False,v3.14.2,True,unknown,High,API timeout after webhook validation fails,recurring,high,multiple systems,0
45,1,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,unknown,False,unknown,False,unknown,True,unknown,unknown,database_connection_timeout_exception,recurring,critical,multiple systems,0
161,6,True,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,unknown,software_update,True,high,False,2.4.1,True,unknown,Medium,Database connection timeout,recurring,critical,single system,1
106,3,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,False,True,unknown,No recent changes,False,unknown,True,unknown,True,2.5.3,High,database_connection_timeout_exception,recurring,high,inventory_module,1
54,1,False,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,windows_10,software_update,True,unknown,False,Nosco CRM v2.4.1,True,unknown,unknown,database_connection_timeout_exception,unknown,critical,single system,0
121,6,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,windows_11,configuration_change,True,high,False,3.1.x,True,unknown,High,unknown_error,one-time,critical,multiple systems,1
5,1,False,True,False,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,software_update,True,unknown,False,CRM Pro v3.2.4,False,2.5.3,Medium,database_connection_failed,recurring,high,single system,0
97,5,True,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,hardware_upgrade,True,high,False,v3.14.2,True,unknown,High,database_connection_timeout_exception,one-time,critical,multiple systems,1
196,5,True,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,True,True,windows_10,software_update,True,high,False,4.2.1,True,4.2.1,High,503: Service Unavailable,recurring,critical,multiple systems,1
101,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,Windows,configuration_change,True,high,False,v3.14.2,True,unknown,Medium,configuration_error,one-time,high,crm_system,1
94,2,True,False,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,True,True,unknown,configuration_change,True,high,True,CRM Pro v3.2.4,True,3.2.1,High,database_connection_failed,one-time,critical,single system,1
90,1,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,configuration_change,True,unknown,False,Nosco CRM v4.5.1,True,unknown,unknown,API timeout after webhook validation fails,unknown,critical,multiple systems,0
172,2,False,True,True,consistent across both Chrome and Firefox,Chrome 118,Chrome,False,False,unknown,unknown,False,unknown,False,CRM Platform v2.3.4,True,unknown,unknown,database_connection_failed,recurring,high,multiple systems,0
24,3,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,False,False,windows_10,configuration_change,True,unknown,False,CRM Pro v3.2.4,True,3.2.1,High,database_connection_failed,one-time,medium,single system,0
110,1,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,False,unknown,software_update,True,high,False,unknown,True,unknown,High,database_connection_timeout_exception,recurring,critical,multiple systems,0
48,4,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,configuration_change,True,high,True,v3.14.2,True,4.7.3,High,configuration_error,one-time,critical,multiple systems,1
6,1,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,windows_10,no recent changes,False,unknown,False,3.2.1,False,3.2.1,Medium,database_connection_failed,recurring,critical,multiple systems,0
279,3,True,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,True,True,unknown,configuration_change,True,high,True,CRM Pro v3.2.4,True,unknown,High,configuration_error,recurring,critical,multiple systems,0
217,5,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,unknown,True,3.2.1,True,unknown,unknown,database_connection_failed,unknown,critical,single system,1
140,4,True,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,Windows Server 2022,configuration_change,True,high,True,4.2.1,True,4.2.1,High,database_connection_failed,recurring,critical,multiple systems,0
15,3,True,False,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,windows_10,software_update,True,high,False,v3.14.2,True,unknown,High,database_connection_timeout_exception,one-time,critical,single system,1
236,1,False,True,False,consistent across both Chrome and Firefox,unknown,unknown,False,False,windows_10,unknown,False,unknown,False,2.4.3,False,2.4.3,unknown,database_connection_failed,unknown,high,single system,0
21,2,False,False,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,True,False,unknown,No recent changes,True,unknown,False,v3.14.2,False,v3.14.2,unknown,database_connection_timeout_exception,unknown,high,unknown,1
235,1,False,False,False,consistent across both Chrome and Firefox,Chrome 119.0.0,Chrome,False,False,unknown,unknown,False,unknown,False,v2.7.4,False,unknown,unknown,Error 503: Service Unavailable,unknown,critical,inventory_module,0
255,6,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,True,True,unknown,configuration_change,True,high,True,CRM Pro v3.2.4,True,4.2.3,High,503: Service Unavailable,recurring,medium,single system,1
1,2,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,configuration_change,False,high,False,4.2.1,False,4.2.1,High,database_connection_timeout_exception,one-time,critical,inventory_module,1
26,6,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,True,False,unknown,no recent changes,True,high,True,4.2.1,True,4.2.1,Medium,timeout,one-time,medium,single system,1
84,3,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,No recent changes,False,high,False,2.3.1,True,unknown,High,database_connection_failed,recurring,critical,inventory_module,0
108,5,True,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,False,True,unknown,configuration_change,True,high,False,v4.2.1,True,unknown,Medium,503: Service Unavailable,recurring,critical,multiple systems,0
79,6,True,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,True,True,windows_10,configuration_change,True,high,False,2.4.1,True,2.5.3,High,database_connection_failed,recurring,high,single system,1
281,1,False,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,software_update,True,high,False,Nosco CRM v4.2.1,True,4.2.1,High,503: Service Unavailable,one-time,critical,inventory_module,0
105,2,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,software_update,True,high,True,CRM Pro v3.2.1,True,unknown,High,timeout,recurring,critical,multiple systems,0
26,5,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,True,False,unknown,no_recent_changes,True,high,True,4.2.1,True,4.2.1,Medium,timeout,recurring,high,inventory_module,0
273,4,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,configuration_change,True,high,True,v3.8.4,True,unknown,Medium,API throttling due to concurrent requests,one-time,critical,multiple systems,1
242,2,True,False,True,consistent across both Chrome and Firefox,Chrome 120.0.1,Chrome,False,False,unknown,software_update,True,high,False,v2.3.4,True,unknown,High,timeout,recurring,critical,multiple systems,0
164,5,True,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Edge,False,True,macOS,configuration_change,True,high,False,3.2.4,True,unknown,High,database_connection_timeout,recurring,critical,multiple systems,0
38,2,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_2019,configuration_change,True,high,True,v3.2.1,True,unknown,Medium,database_connection_timeout_exception,recurring,critical,single system,1
252,4,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,hardware_upgrade,True,unknown,False,CRM Pro v3.2.4,True,4.2.1,Medium,database_connection_timeout_exception,recurring,high,single system,1
166,1,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,configuration_change,False,unknown,False,v5.1.2,True,unknown,High,database_connection_timeout_exception,one-time,critical,single system,0
106,2,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,False,True,unknown,no recent changes,False,unknown,True,unknown,True,2.5.3,High,503: Service Unavailable,one-time,high,multiple systems,0
59,4,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,configuration_change,True,high,True,v2.4.3,True,unknown,Medium,503: Service Unavailable,one-time,high,single system,1
206,5,False,True,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122","Chrome, Edge, Firefox, Google Chrome, Microsoft Edge",False,True,"Linux, Windows Server 2019, macOS, windows_10, windows_11","No recent changes, configuration_change, hardware_upgrade, software_update, yes",False,unknown,True,"3.2.1, 3.2.2, 3.3.0, CRM Pro v3.2.4, PostgreSQL 12.7+, unknown",True,"2.5.3, 3.2.1, 4.1.9, 4.2.0, 4.2.1, 4.8.2, other",High,"configuration_error, database_connection_failed, timeout, unknown_error",recurring,high,single system,0
44,1,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,windows_10,unknown,False,high,False,unknown,True,unknown,High,database_connection_failed,unknown,critical,multiple systems,0
152,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,software_update,True,high,False,Nosco CRM v3.2.1,True,v3.14.2,Medium,database_connection_timeout_exception,one-time,high,multiple systems,1
242,3,True,False,True,consistent across both Chrome and Firefox,Chrome 120.0.1,Chrome,False,False,unknown,software_update,True,high,False,CRM Pro v3.8.16,True,unknown,High,timeout,recurring,high,multiple systems,1
160,5,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,True,True,unknown,no recent changes,True,high,False,2.4.5,True,unknown,High,503: Service Unavailable,recurring,critical,multiple systems,0
259,2,False,False,True,unknown,unknown,unknown,False,True,unknown,unknown,False,unknown,False,unknown,False,unknown,unknown,database_connection_timeout_exception,unknown,high,multiple systems,0
31,5,False,True,True,consistent across both Chrome and Firefox,"Chrome 119, Firefox 117","Chrome, Firefox",False,False,unknown,no recent changes,False,high,False,v4.5.2,False,4.5.2,unknown,unknown_error,recurring,medium,multiple systems,1
65,3,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,unknown,False,3.2.1,True,unknown,unknown,database_connection_failed,unknown,high,crm_system,1
18,1,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,configuration_change,True,unknown,False,CRM v3.2.1,True,3.2.1,Medium,Error 503: Service Unavailable,recurring,critical,multiple systems,0
39,1,False,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,software_update,True,high,False,Nosco CRM's inventory module,True,unknown,High,database_connection_timeout_exception,recurring,critical,single system,0
175,4,False,True,True,consistent across both Chrome and Firefox,Chrome 98.0.4758.102,Chrome,False,False,Windows Server 2016,No recent changes,False,unknown,False,v3.14.2,True,unknown,Medium,database_connection_timeout_exception,recurring,medium,single system,1
124,2,True,False,True,consistent across both Chrome and Firefox,unknown,unknown,True,True,unknown,configuration_change,True,high,True,unknown,True,unknown,Medium,configuration_error,recurring,high,multiple systems,1
80,6,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,False,True,unknown,configuration_change,True,high,True,2.5.3,True,2.5.3,Medium,database_connection_failed,one-time,critical,single system,1
197,4,True,False,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,True,windows_10,configuration_change,True,high,True,v3.2.1,True,unknown,Low,configuration_error,recurring,critical,single system,1
35,6,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,no recent changes,False,unknown,True,unknown,True,4.2.1,unknown,database_connection_failed,recurring,high,single system,1
23,4,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,False,True,windows_10,configuration_change,True,unknown,True,CRM Pro v3.2.4,True,other,High,database_connection_timeout_exception,recurring,high,multiple systems,1
90,3,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,True,False,windows_10,configuration_change,True,high,False,Nosco CRM v4.5.1,True,unknown,Medium,API timeout after webhook validation fails,recurring,critical,multiple systems,1
173,1,False,True,True,unknown,unknown,unknown,False,True,unknown,software_update,True,high,False,Nosco 2.4.1,True,unknown,Medium,database_connection_timeout_exception,unknown,critical,multiple systems,0
251,3,False,False,True,consistent across both Chrome and Firefox,117,Edge,False,False,unknown,configuration_change,True,unknown,False,3.2.1,True,4.2.0,Medium,timeout,recurring,critical,crm_system,0
45,3,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,configuration_change,True,unknown,False,SAP RFC 7.50 Patch 3,True,unknown,High,configuration_error,recurring,critical,multiple systems,1
114,4,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,no recent changes,True,high,False,CRM Pro v3.2.4,True,unknown,Low,unknown_error,one-time,medium,crm_system,1
150,1,False,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,software_update,True,high,False,v2.4.1,True,2.4.1,Medium,Database connection failed - Error Code: DB-503,one-time,critical,inventory_module,0
163,6,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,True,True,unknown,configuration_change,True,high,False,v2.3.4,True,2.3.4,High,database_connection_failed,recurring,critical,single system,1
18,2,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,False,unknown,configuration_change,True,high,False,3.2.1,True,3.2.1,High,configuration_error,one-time,critical,multiple systems,0
75,3,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,no recent changes,True,unknown,False,CRM Pro v3.2.4,True,other,High,database_connection_timeout_exception,one-time,critical,single system,0
125,5,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,windows_10,configuration_change,True,high,False,3.2.1,True,4.2.7,Medium,timeout,recurring,high,crm_system,1
39,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,True,True,unknown,software_update,True,high,False,Nosco CRM's inventory module,True,unknown,High,database_connection_timeout_exception,recurring,critical,inventory_module,0
73,3,False,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,configuration_change,True,high,True,Nosco CRM v2.3.4,True,unknown,High,503: Service Unavailable,one-time,critical,inventory_module,0
196,3,True,True,True,consistent across both Chrome and Firefox,"98.0.4758.102, Chrome 122",Chrome,False,False,windows_10,configuration_change,True,high,False,v3.14.2,True,4.2.1,High,unknown_error,recurring,critical,single system,0
47,2,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,unknown,False,unknown,False,unknown,True,unknown,unknown,database_connection_failed,one-time,critical,inventory_module,0
236,3,False,True,True,consistent across both Chrome and Firefox,unknown,Chrome,False,True,windows_10,software_update,True,unknown,False,2.4.3,True,2.4.3,Medium,database_connection_failed,unknown,high,multiple systems,1
138,4,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,windows_10,software_update,True,high,True,Nosco CRM v2.4.1,True,unknown,Medium,database_connection_timeout_exception,one-time,critical,multiple systems,1
164,2,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,windows_10,yes,True,high,False,Nosco version 2.4.1,True,unknown,High,database_connection_timeout_exception,recurring,high,inventory_module,0
6,5,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,No recent changes,False,unknown,True,3.2.1,True,3.2.1,Medium,database_connection_timeout_exception,recurring,high,single system,1
64,2,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,configuration_change,True,high,True,3.2.1,True,3.2.1,Medium,database_connection_failed,one-time,high,single system,1
235,5,False,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,windows_10,yes,True,high,True,CRM Pro v3.2.4,True,unknown,High,timeout,one-time,critical,single system,1
169,3,False,True,True,consistent across both Chrome and Firefox,Chrome 128.0.6613.114,Chrome,False,True,Windows Server 2022,configuration_change,True,high,True,CRM v4.8.2,True,4.8.2,High,database_connection_timeout_exception,one-time,critical,inventory_module,1
24,2,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,configuration_change,True,unknown,False,CRM Pro v3.2.4,True,3.2.1,High,database_connection_failed,one-time,critical,single system,0
24,4,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,False,True,windows_10,configuration_change,True,unknown,False,CRM Pro v3.2.4,True,3.2.1,High,503: Service Unavailable,one-time,medium,single system,0
22,4,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_2019,No recent changes,False,high,False,3.2.1,True,unknown,Low,database_connection_failed,one-time,high,single system,1
118,1,False,True,False,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,False,windows_10,configuration_change,True,unknown,False,CRM Pro v3.2.4,True,v3.14.2,Medium,database_connection_timeout_exception,recurring,critical,inventory_module,0
145,3,False,True,True,consistent across both Chrome and Firefox,Chrome 120,"Chrome, Edge",False,False,windows_11,software_update,True,critical,False,v2.4.2,True,2.4.2,High,503: Service Unavailable,one-time,critical,single system,0
75,1,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,unknown,configuration_change,True,unknown,False,v3.2.1,True,Nosco CRM v3.2.1,High,Timeout exception: Failed to connect to /api/inventory/sync,one-time,critical,inventory_module,0
4,3,True,True,True,consistent across both Chrome and Firefox,Chrome 130.0.6723.91,Chrome,False,True,windows_10,software_update,True,high,False,2.1.6,True,4.8.2,High,timeout,one-time,critical,multiple systems,1
24,5,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,False,True,windows_10,configuration_change,True,unknown,False,CRM Pro v3.2.4,True,3.2.1,High,503: Service Unavailable,one-time,critical,multiple systems,1
94,1,True,False,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,True,True,unknown,unknown,False,high,True,CRM Pro v3.2.4,True,3.2.1,High,503: Service Unavailable,recurring,critical,multiple systems,0
83,5,True,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,True,unknown,configuration_change,True,high,True,v3.14.2,True,2.4.1,High,database_connection_timeout_exception,recurring,critical,single system,1
293,2,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,high,False,4.27.1,True,unknown,Medium,unknown_error,one-time,medium,multiple systems,1
41,1,False,True,False,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,unknown,False,high,False,unknown,False,unknown,unknown,database_connection_timeout_exception,unknown,high,multiple systems,0
230,5,True,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,False,True,windows_10,configuration_change,True,high,False,v4.2.1,True,4.2.1,High,503: Service Unavailable,recurring,critical,multiple systems,1
86,3,False,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,unknown,No recent changes,False,unknown,False,3.2.1,False,unknown,unknown,unknown_error,one-time,high,single system,1
145,5,True,True,True,consistent across both Chrome and Firefox,Chrome 120,"Chrome, Edge",False,True,windows_11,configuration_change,True,high,False,3.2.2,True,2.4.2,High,database_connection_timeout_exception,recurring,critical,single system,1
44,4,True,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,windows_10,software_update,True,high,True,3.2.1,True,unknown,High,database_connection_failed,unknown,medium,single system,0
30,4,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,high,True,v5.1.3,True,unknown,High,configuration_error,recurring,critical,multiple systems,0
43,2,False,True,False,unknown,unknown,unknown,False,True,unknown,unknown,False,unknown,True,CRM Pro v3.2.4,True,unknown,unknown,database_connection_timeout_exception,unknown,high,multiple systems,1
254,5,False,True,True,consistent across both Chrome and Firefox,Chrome 110.0.5481.178,Chrome,True,True,unknown,configuration_change,False,unknown,True,4.2.1,True,4.2.1,Medium,unknown_error,one-time,high,single system,1
279,4,True,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,True,True,unknown,hardware_upgrade,True,high,True,3.8,True,unknown,High,configuration_error,one-time,critical,multiple systems,1
39,5,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,True,True,unknown,configuration_change,True,high,False,2.5.3,True,unknown,Medium,503: Service Unavailable,one-time,critical,inventory_module,1
