thread_id,email_number,rollback_status,cache_clear_status,diagnostics_required,device_consistency,browser_version,browser_type,issue_reproduction,support_required,os_type,system_change,upgrade_related,ticket_priority,escalation_status,software_version,escalation_needed,crm_version,software_version,technical_complexity,resolution_time,error_type,issue_history,error_type,issue_severity,system_affected
20,4,False,,True,consistent across both Chrome and Firefox,,,,False,unknown,configuration_change,False,,False,unknown,True,unknown,unknown,Medium,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,high,multiple systems
20,5,False,,True,consistent across both Chrome and Firefox,,,False,False,,configuration_change,False,,False,unknown,False,,unknown,,,database_connection_timeout_exception,,database_connection_timeout_exception,,multiple systems
21,1,False,,False,unknown,Chrome 122,Chrome,False,False,unknown,unknown,True,unknown,False,v3.14.2,False,v3.14.2,v3.14.2,unknown,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,high,unknown
21,2,False,,True,consistent across both Chrome and Firefox,,,True,False,,No recent changes,False,,,,False,,,,,,,,,
22,1,,,,,,,,True,,,,,,3.2.1,,,3.2.1,,,database_connection_failed,,database_connection_failed,critical,crm_system
22,2,,,False,unknown,,,,False,,unknown,,,,unknown,,,unknown,,,unknown,unknown,unknown,,unknown
22,3,False,,False,consistent across both Chrome and Firefox,,,False,False,windows_2019,No recent changes,False,,False,,False,,,Low,,,one-time,,high,single system
22,4,,,True,unknown,,unknown,,True,unknown,unknown,,high,,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,high,single system
23,1,,,True,unknown,,,,True,,unknown,True,,,2.5.3,True,unknown,2.5.3,Medium,,database_connection_failed,unknown,database_connection_failed,critical,crm_system
23,2,,,True,unknown,unknown,unknown,,False,unknown,unknown,,,False,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
23,3,,True,True,consistent across both Chrome and Firefox,,Chrome,,False,windows_10,configuration_change,True,,False,CRM Pro v3.2.4,False,other,CRM Pro v3.2.4,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,high,multiple systems
23,4,,,True,unknown,unknown,unknown,False,True,unknown,unknown,,unknown,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
24,1,,,True,consistent across both Chrome and Firefox,,,,False,,configuration_change,True,,,CRM Pro v3.2.4,True,3.2.1,CRM Pro v3.2.4,High,,database_connection_failed,one-time,database_connection_failed,critical,single system
24,2,,,False,unknown,unknown,unknown,,False,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
24,3,,True,False,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,False,False,windows_10,unknown,False,unknown,False,unknown,False,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,medium,single system
24,4,,,True,unknown,,unknown,,True,unknown,,,unknown,,,True,unknown,,unknown,,503: Service Unavailable,unknown,503: Service Unavailable,medium,unknown
24,5,,,True,consistent across both Chrome and Firefox,,,,False,,configuration_change,True,,,,True,,,High,,,,,critical,multiple systems
26,1,,,True,unknown,,,,False,unknown,unknown,,high,,unknown,True,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,high,multiple systems
26,2,,,True,,,,,False,,unknown,,,False,,True,,,,,,,,,
26,3,,True,False,unknown,unknown,unknown,False,False,unknown,no_recent_changes,False,unknown,False,4.2.1,False,4.2.1,4.2.1,unknown,,database_connection_failed,unknown,database_connection_failed,high,single_system
26,4,,,True,unknown,unknown,unknown,,False,unknown,unknown,,unknown,True,unknown,True,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,medium,inventory_module
26,5,,,False,consistent across both Chrome and Firefox,unknown,Chrome,True,False,unknown,unknown,True,high,,unknown,True,unknown,unknown,Medium,,timeout,recurring,timeout,high,inventory_module
26,6,False,,False,,,,False,False,,no recent changes,False,,False,,False,,,,,,one-time,,medium,single system
28,1,True,True,False,consistent across both Chrome and Firefox,Chrome 118.0.0,Chrome,False,True,unknown,software_update,True,high,False,unknown,True,unknown,unknown,Medium,,Database connection timeout,recurring,Database connection timeout,high,inventory_module
28,2,True,,True,consistent across both Chrome and Firefox,,,,True,,no recent changes,True,high,,,True,,,Medium,,Database connection timeout,one-time,Database connection timeout,high,single system
30,1,True,True,True,consistent across both Chrome and Firefox,,,False,True,,software_update,True,,False,v3.2.1,True,,v3.2.1,High,,database_connection_failed,recurring,database_connection_failed,critical,multiple systems
30,2,,,True,consistent across both Chrome and Firefox,,,,True,,configuration_change,True,high,True,1.7.2,True,,1.7.2,High,,502: Bad Gateway,one-time,502: Bad Gateway,critical,single system
30,3,False,,True,consistent across both Chrome and Firefox,,,False,False,,configuration_change,True,,,unknown,True,,unknown,High,,configuration_error,one-time,configuration_error,critical,multiple systems
30,4,,,False,consistent across both Chrome and Firefox,,,,True,,configuration_change,True,,,v5.1.3,True,,v5.1.3,High,,configuration_error,recurring,configuration_error,critical,multiple systems
30,5,True,,False,consistent across both Chrome and Firefox,,Chrome,,True,Windows Server 2019,configuration_change,True,,False,v3.14.2,False,,v3.14.2,High,,,recurring,,critical,single system
31,1,,,True,consistent across both Chrome and Firefox,unknown,Chrome,False,False,unknown,unknown,False,high,False,unknown,False,unknown,unknown,unknown,,database_connection_failed,recurring,database_connection_failed,critical,single system
31,2,,,True,unknown,,,,False,,unknown,,,,,,,,,,,,,,
31,3,,True,False,consistent across both Chrome and Firefox,"Chrome 119, Firefox 117","Chrome, Firefox",,False,unknown,no recent changes,,unknown,,v4.5.2,,4.5.2,v4.5.2,unknown,,unknown_error,unknown,unknown_error,medium,multiple systems
31,4,,,True,,,,,False,,,,,,,,,,,,,,,,
31,5,,,True,unknown,unknown,unknown,,False,unknown,unknown,,,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
34,1,,True,False,consistent across both Chrome and Firefox,Chrome 122,Chrome,False,False,windows_10,no recent changes,False,high,False,CRM Pro v3.2.4,False,3.2.5,CRM Pro v3.2.4,High,,database_connection_failed,recurring,database_connection_failed,critical,multiple systems
34,2,,,False,unknown,unknown,unknown,False,False,unknown,configuration_change,False,unknown,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,high,multiple systems
34,3,,,False,unknown,,unknown,,False,unknown,no_recent_changes,True,,,unknown,False,,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
34,4,False,,True,consistent across both Chrome and Firefox,,unknown,False,True,unknown,configuration_change,True,,,unknown,True,unknown,unknown,Medium,,unknown_error,recurring,unknown_error,medium,multiple systems
35,1,,,False,consistent across both Chrome and Firefox,,unknown,False,False,unknown,unknown,False,unknown,False,unknown,False,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,high,multiple systems
35,2,,,True,,,,,False,,unknown,,,,,,,,,,,,,,
35,3,,,,consistent across both Chrome and Firefox,unknown,unknown,,,unknown,no recent changes,,unknown,,unknown,,4.2.1,unknown,unknown,,database_connection_failed,recurring,database_connection_failed,high,single system
35,4,,,,,,,,False,,,,,True,,True,,,,,,,,,
35,5,,False,,unknown,unknown,unknown,,False,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,high,single system
35,6,,,False,unknown,unknown,unknown,,False,unknown,unknown,False,,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
38,1,True,True,True,consistent across both Chrome and Firefox,unknown,unknown,False,False,windows_2019,configuration_change,True,high,False,v3.2.1,True,unknown,v3.2.1,High,,database_connection_failed,recurring,database_connection_failed,critical,crm_system
38,2,,False,True,unknown,,,False,True,windows_2019,configuration_change,True,,True,,True,,,Medium,90.0,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,single system
39,1,,True,,consistent across both Chrome and Firefox,Chrome 120,Chrome,,False,unknown,software_update,True,high,False,Nosco CRM's inventory module,True,unknown,Nosco CRM's inventory module,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,single system
39,2,False,,True,,,,True,True,,,True,high,False,,False,,,,,,,,critical,inventory_module
39,3,,,True,consistent across both Chrome and Firefox,,,False,False,,No recent changes,False,,,3.2.1,True,,3.2.1,High,,503: Service Unavailable,one-time,503: Service Unavailable,critical,single system
39,4,False,,True,consistent across both Chrome and Firefox,,,,True,,configuration_change,True,,,2.5.3,True,,2.5.3,Medium,,configuration_error,one-time,configuration_error,critical,multiple systems
39,5,,,True,unknown,unknown,unknown,,,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,503: Service Unavailable,unknown,503: Service Unavailable,critical,inventory_module
41,1,False,True,False,consistent across both Chrome and Firefox,,unknown,False,True,unknown,unknown,False,high,False,,False,unknown,,unknown,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,high,multiple systems
41,2,False,,True,,,,False,True,,,False,,False,,True,,,,,,,,high,multiple systems
42,1,,True,,consistent across both Chrome and Firefox,Chrome 128.0.0,Google Chrome,,True,unknown,unknown,False,critical,,v3.14.2,True,unknown,v3.14.2,High,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,multiple systems
42,2,,,True,,,,True,True,,configuration_change,True,high,,,True,,,,,,,,critical,single system
43,1,,True,False,,,,,True,,unknown,,,,CRM Pro v3.2.4,True,,CRM Pro v3.2.4,,,database_connection_timeout_exception,,database_connection_timeout_exception,critical,single system
43,2,,,False,unknown,unknown,unknown,,True,unknown,unknown,,unknown,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,high,multiple systems
44,1,,,True,consistent across both Chrome and Firefox,,,,False,windows_10,unknown,,high,,,True,,,High,,database_connection_failed,unknown,database_connection_failed,critical,multiple systems
44,2,,,True,unknown,unknown,unknown,,True,unknown,configuration_change,,unknown,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,critical,crm_system
44,3,,,False,,,,,,,software_update,True,,,3.2.1,,,3.2.1,,,database_connection_failed,,database_connection_failed,medium,single system
44,4,True,,True,,,,,True,,software_update,True,,,,,,,,,,,,,
44,5,False,,True,unknown,unknown,unknown,,,unknown,unknown,False,unknown,,3.2.1,,unknown,3.2.1,unknown,,unknown,unknown,unknown,unknown,inventory_module
45,1,,,True,consistent across both Chrome and Firefox,unknown,unknown,,False,unknown,unknown,,,,unknown,True,unknown,unknown,unknown,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,multiple systems
45,2,False,,True,consistent across both Chrome and Firefox,,,False,False,,configuration_change,False,,False,,False,,,Medium,,configuration_error,one-time,configuration_error,high,single system
45,3,,,True,consistent across both Chrome and Firefox,,unknown,,False,unknown,configuration_change,True,,,SAP RFC 7.50 Patch 3,True,unknown,SAP RFC 7.50 Patch 3,High,,configuration_error,recurring,configuration_error,critical,multiple systems
47,1,False,,True,consistent across both Chrome and Firefox,,,,False,,,,,,,True,,,,,database_connection_failed,one-time,database_connection_failed,critical,inventory_module
47,2,,,True,,,,,,,unknown,,,,unknown,,,unknown,,,,,,,
47,3,,,False,consistent across both Chrome and Firefox,,,False,False,,No recent changes,False,,False,3.2.1,False,3.2.1,3.2.1,,,database_connection_failed,one-time,database_connection_failed,high,single system
47,4,,,False,unknown,unknown,unknown,False,False,unknown,unknown,False,unknown,True,unknown,True,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,critical,single system
47,5,False,,True,,,,False,False,,,False,,False,,False,,,,,database_connection_failed,,database_connection_failed,high,inventory_module
47,6,,,False,unknown,unknown,unknown,,True,unknown,unknown,,unknown,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
48,1,,True,True,consistent across both Chrome and Firefox,,Chrome,False,,windows_10,configuration_change,True,high,,CRM Pro v3.2.4,True,4.7.3,CRM Pro v3.2.4,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,multiple systems
48,2,,,True,consistent across both Chrome and Firefox,,unknown,,False,unknown,configuration_change,False,high,False,unknown,False,unknown,unknown,High,,unknown_error,unknown,unknown_error,critical,single system
48,3,False,,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,False,windows_10,hardware_upgrade,True,high,False,v3.14.2,True,unknown,v3.14.2,High,2.0,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,single system
48,4,False,,True,consistent across both Chrome and Firefox,,,False,True,,configuration_change,True,high,True,unknown,True,,unknown,High,90.0,configuration_error,one-time,configuration_error,critical,multiple systems
49,1,False,True,True,consistent across both Chrome and Firefox,,,False,True,,no recent changes,False,,False,CRM Pro v3.2.4,False,unknown,CRM Pro v3.2.4,Medium,,database_connection_failed,recurring,database_connection_failed,high,crm_system
49,2,False,,True,unknown,,,,True,,unknown,,,,,True,,,,,,,,,
51,1,False,True,True,consistent across both Chrome and Firefox,Chrome 120,Chrome,,True,unknown,software_update,True,,,NoscoCRM v4.3.2,True,unknown,NoscoCRM v4.3.2,High,,Database connection failed - Error 503 Service Unavailable,one-time,Database connection failed - Error 503 Service Unavailable,critical,multiple systems
51,2,,,True,consistent across both Chrome and Firefox,unknown,unknown,,True,unknown,configuration_change,True,unknown,True,unknown,True,unknown,unknown,unknown,,503: Service Unavailable,unknown,503: Service Unavailable,critical,multiple systems
51,3,,,False,consistent across both Chrome and Firefox,,,,False,windows_10,no recent changes,False,,,,True,,,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,multiple systems
51,4,True,,True,consistent across both Chrome and Firefox,,Chrome,True,True,,configuration_change,True,,False,v3.14.2,True,,v3.14.2,High,4.0,configuration_error,recurring,configuration_error,critical,multiple systems
51,5,True,,True,unknown,unknown,unknown,False,True,unknown,unknown,,unknown,False,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,critical,inventory_module
51,6,False,,True,unknown,,,,True,,configuration_change,True,,True,unknown,True,,unknown,High,,unknown_error,unknown,unknown_error,critical,multiple systems
52,1,False,,True,consistent across both Chrome and Firefox,,,False,False,unknown,unknown,False,high,False,unknown,False,unknown,unknown,High,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,inventory_module
52,2,False,,True,consistent across both Chrome and Firefox,,unknown,,False,unknown,configuration_change,True,,False,v3.14.2,False,unknown,v3.14.2,Medium,,unknown_error,recurring,unknown_error,critical,inventory_module
52,3,True,,True,consistent across both Chrome and Firefox,unknown,unknown,,True,unknown,software_update,True,high,,3.20.1,True,unknown,3.20.1,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,multiple systems
52,4,True,,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,,True,,software_update,True,high,,PostgreSQL 15,True,,PostgreSQL 15,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,inventory_module
52,5,False,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,configuration_change,True,high,False,3.20.2,True,unknown,3.20.2,High,,configuration_error,recurring,configuration_error,critical,multiple systems
52,6,True,,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,,,windows_10,yes,True,,,v3.20.1,True,,v3.20.1,High,,configuration_error,one-time,configuration_error,critical,inventory_module
53,1,,True,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,,False,windows_10,configuration_change,False,,,3.2.1,True,,3.2.1,High,,database_connection_failed,,database_connection_failed,critical,crm_system
53,2,,,True,unknown,unknown,unknown,,True,unknown,unknown,,unknown,True,unknown,True,unknown,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,critical,multiple systems
54,1,,True,False,consistent across both Chrome and Firefox,Chrome 120,Chrome,,True,windows_10,software_update,True,,,Nosco CRM v2.4.1,True,,Nosco CRM v2.4.1,,,database_connection_timeout_exception,,database_connection_timeout_exception,critical,single system
54,2,False,,True,unknown,,,False,True,,unknown,,high,,,True,,,,,503: Service Unavailable,unknown,503: Service Unavailable,high,unknown
54,3,,,True,consistent across both Chrome and Firefox,unknown,Firefox,,,unknown,no recent changes,,,,unknown,True,unknown,unknown,High,,503: Service Unavailable,one-time,503: Service Unavailable,critical,multiple systems
54,4,,,True,,,,False,True,,unknown,False,,True,unknown,True,,unknown,unknown,,database_connection_failed,unknown,database_connection_failed,critical,inventory_module
55,1,,True,False,consistent across both Chrome and Firefox,Chrome 129,Chrome,,False,Windows Server 2019,software_update,True,high,False,v3.7.2,True,,v3.7.2,High,,timeout_error,recurring,timeout_error,critical,multiple systems
55,2,,False,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,Windows Server 2019,configuration_change,True,high,False,v3.7.2,True,unknown,v3.7.2,High,,timeout,recurring,timeout,critical,single system
56,1,False,True,False,consistent across both Chrome and Firefox,Chrome 122,Google Chrome,False,False,unknown,unknown,False,unknown,False,unknown,False,unknown,unknown,unknown,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,multiple systems
56,2,,,True,unknown,unknown,unknown,False,True,unknown,unknown,,high,True,unknown,True,unknown,unknown,High,30.0,unknown,unknown,unknown,critical,single system
56,3,True,,True,consistent across both Chrome and Firefox,,unknown,,False,unknown,unknown,True,unknown,False,unknown,True,unknown,unknown,High,,database_connection_timeout_exception,recurring,database_connection_timeout_exception,critical,multiple systems
58,1,,,True,consistent across both Chrome and Firefox,,,,True,,software_update,True,,,v2.4.1,True,,v2.4.1,High,,database_connection_failed,one-time,database_connection_failed,critical,inventory_module
58,2,,,True,consistent across both Chrome and Firefox,Chrome 122,Chrome,,False,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,high,single system
58,3,,,False,consistent across both Chrome and Microsoft Edge,Chrome v120.0.0,"Chrome, Microsoft Edge",True,False,,No recent changes,False,,False,,False,,,,,,recurring,,,multiple systems
58,4,False,False,True,unknown,unknown,unknown,False,True,unknown,software_update,True,unknown,False,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,high,multiple systems
58,5,,,True,unknown,unknown,unknown,False,False,unknown,unknown,,unknown,,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,high,inventory_module
59,1,False,True,True,consistent across both Chrome and Firefox,98.0.4758.102,Chrome,False,False,windows_10,software_update,True,high,False,v2.4.3,True,unknown,v2.4.3,High,,database_connection_failed,recurring,database_connection_failed,critical,multiple systems
59,2,False,,True,consistent across both Chrome and Firefox,unknown,unknown,False,True,unknown,unknown,True,high,True,v2.4.3,True,unknown,v2.4.3,unknown,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,inventory_module
59,3,False,,False,consistent across both Chrome and Firefox,,,False,False,,hardware_upgrade,True,,False,,False,,,,,503: Service Unavailable,one-time,503: Service Unavailable,critical,single system
59,4,False,,True,consistent across both Chrome and Firefox,,,False,False,,configuration_change,True,,,,False,,,Medium,,503: Service Unavailable,one-time,503: Service Unavailable,high,single system
60,1,,,True,unknown,unknown,unknown,,,unknown,unknown,,,,CRM Platform version 2.5.3,True,2.5.3,CRM Platform version 2.5.3,unknown,,database_connection_failed,unknown,database_connection_failed,critical,crm_system
60,2,,,False,unknown,unknown,unknown,,False,unknown,unknown,,unknown,,unknown,,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
60,3,False,True,False,consistent across both Chrome and Firefox,98.0.4758.102,Google Chrome,,False,,configuration_change,False,,,,False,,,,,,,,,multiple systems
60,4,,,True,unknown,unknown,unknown,,True,unknown,unknown,,,True,unknown,True,unknown,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
60,5,,False,False,consistent across both Chrome and Firefox,,Chrome,False,False,,no recent changes,,high,,,False,,,,,,recurring,,high,multiple systems
63,1,False,True,True,unknown,unknown,unknown,,True,unknown,unknown,,,,unknown,True,unknown,unknown,unknown,,database_connection_timeout_exception,unknown,database_connection_timeout_exception,critical,crm_system
